i,j,Lookup,AccountID,Month,AssetClass,Stage Mapper,Stage,Exposure,ECL,PD,LGD
1,1,1,MB1,201709,MRTG,0.9712590414,Stage 3,1153174,291246,1.000,0.25
2,2,1,MB2,201709,MRTG,0.1723924842,Stage 1,642419,23788,0.199,0.19
3,3,1,MB3,201709,MRTG,0.006488163576,Stage 1,1492909,4529,0.008,0.37
4,4,1,MB4,201709,MRTG,0.6749621237,Stage 1,670880,46421,0.182,0.38
5,5,1,MB5,201709,MRTG,0.5313345066,Stage 1,1175814,55383,0.143,0.33
6,6,1,MB6,201709,MRTG,0.02291432369,Stage 1,1068787,80705,0.186,0.41
7,7,1,MB7,201709,MRTG,0.4316640996,Stage 1,858512,34995,0.117,0.35
8,8,1,MB8,201709,MRTG,0.5095960897,Stage 1,1100343,2618,0.024,0.10
9,9,1,MB9,201709,MRTG,0.1474249922,Stage 1,530539,486,0.002,0.44
10,10,1,MB10,201709,MRTG,0.6499129781,Stage 1,640796,1360,0.084,0.03
11,11,1,MB11,201709,MRTG,0.2892576926,Stage 1,1417127,32468,0.153,0.15
12,12,1,MB12,201709,MRTG,0.09400948406,Stage 1,1377679,24262,0.061,0.29
13,13,1,MB13,201709,MRTG,0.4776350203,Stage 1,1437581,133058,0.200,0.46
14,14,1,MB14,201709,MRTG,0.4246672466,Stage 1,780278,8696,0.079,0.14
15,15,1,MB15,201709,MRTG,0.883662516,Stage 2,848248,53976,0.474,0.13
16,16,1,MB16,201709,MRTG,0.2250332408,Stage 1,566302,284,0.002,0.25
17,17,1,MB17,201709,MRTG,0.2929916956,Stage 1,1218690,87086,0.160,0.45
18,18,1,MB18,201709,MRTG,0.08472698337,Stage 1,1280927,26200,0.134,0.15
19,19,1,MB19,201709,MRTG,0.5436891992,Stage 1,785403,11335,0.111,0.13
20,20,1,MB20,201709,MRTG,0.5427019566,Stage 1,629921,14312,0.071,0.32
21,21,1,MB21,201709,MRTG,0.5079097762,Stage 1,750134,23369,0.121,0.26
22,22,1,MB22,201709,MRTG,0.1110533707,Stage 1,1227724,2437,0.084,0.02
23,23,1,MB23,201709,MRTG,0.3890007952,Stage 1,1256131,3674,0.178,0.02
24,24,1,MB24,201709,MRTG,0.2674981072,Stage 1,676429,27271,0.159,0.25
25,25,1,MB25,201709,MRTG,0.6240108007,Stage 1,617887,23177,0.118,0.32
26,26,1,MB26,201709,MRTG,0.6933560188,Stage 1,1266480,20531,0.033,0.50
27,27,1,MB27,201709,MRTG,0.6408984655,Stage 1,1195758,6917,0.038,0.15
28,28,1,MB28,201709,MRTG,0.6320097835,Stage 1,858692,2151,0.016,0.15
29,29,1,MB29,201709,MRTG,0.7850804568,Stage 1,909861,64436,0.161,0.44
30,30,1,MB30,201709,MRTG,0.379116259,Stage 1,585341,18765,0.106,0.30
31,31,1,MB31,201709,MRTG,0.9569805843,Stage 3,1357021,48707,1.000,0.04
32,32,1,MB32,201709,MRTG,0.9350104051,Stage 2,1200824,46867,0.108,0.36
33,33,1,MB33,201709,MRTG,0.5872378687,Stage 1,1424745,76477,0.137,0.39
34,34,1,MB34,201709,MRTG,0.3621378285,Stage 1,1166404,30682,0.164,0.16
35,35,1,MB35,201709,MRTG,0.1061120626,Stage 1,1047937,3485,0.039,0.09
